96,27065
160,27690
272,28107
216,28524
160,28940
216,29357
328,30190
368,31024
272,31440
176,31857
272,32274
272,32690
360,33732
416,33940
456,34149
448,34357
256,35190
168,36024
72,36440
168,36857
264,37690
152,39774
208,40190
264,40607
208,41024
304,43107
400,43524
304,43940
304,44357
192,45190
256,46024
80,54357
184,55190
200,55399
184,55607
264,56024
464,56857
480,57690
440,58107
336,58524
384,58940
256,59357
80,61857
80,62690
264,63524
320,63732
371,63940
320,64357
408,65607
296,66024
408,67274
352,67690
240,68732
232,68940
192,69149
136,69357
168,70607
272,71024
464,71857
368,73107
264,73524
368,74357
368,75399
312,76024
96,76857
96,77690
312,78524
368,78732
424,78940
360,79357
416,81440
512,81857
512,82065
496,82274
400,82690
472,84774
472,85190
376,86024
208,87274
312,87690
352,88732
256,89774
148,90190
96,90399
72,90607
72,91024
235,91857
296,92690
400,93940
320,94357
416,96440
320,96857
144,97690
48,98524
144,99357
152,100607
264,101024
200,103107
253,103524
149,103940
197,104357
305,104774
357,104982
413,105190
357,106024
256,107690
104,116024
160,116440
208,116857
160,117274
208,117690
440,118524
384,119357
288,119774
192,120190
256,121024
448,123524
448,124357
264,125190
208,125399
155,125607
96,126024
216,126857
444,127690
392,128524
304,129357
192,129774
144,130190
256,130607
200,131024
200,132274
296,132690
464,133524
296,134357
185,134774
128,134982
80,135190
104,136024
208,137065
376,137690
256,138524
128,139357
256,140190
256,140607
256,141024
368,142274
472,142690
416,143732
416,144357
200,145190
304,146024
304,146440
304,146857
208,147690
208,148940
176,149357
104,150399
112,150607
152,150815
208,151024
328,151857
472,152482
448,152690
232,153524
272,154149
328,154357
224,155190
64,155815
64,156024
160,157065
160,157690
216,158107
328,158524
376,158940
376,159357
376,160399
376,160607
288,161024
192,161857
96,162690
96,163107
192,163524
288,163940
288,164357
256,166024
256,187690
256,192690
256,193524
256,194357
152,196024
256,197065
424,197690
256,199357
256,200399
344,201024
256,202690
256,206024
256,206858
256,207691
360,209358
256,210399
88,211024
256,212690
256,216024
256,217690
304,222690
304,223732
200,224357
416,225190
416,226023
200,226857
144,227065
88,227273
152,227690
96,229773
0,230190
0,230398
16,230607
112,231023
40,233107
40,233523
136,234357
304,235607
256,236024
296,238524
352,238940
296,239357
184,240190
144,241024
240,241440
336,241857
240,242274
240,242690
152,243732
96,243940
56,244149
64,244357
256,245190
344,246024
440,246440
344,246857
248,247690
360,249774
304,250190
248,250607
304,251024
208,253107
112,253524
208,253940
208,254357
320,255190
256,256024
